ID,Name,mu_peak,v0,mass,PBmax,Rr,slip_tgt,max_slip,MIL_stop_ft,PIL_stop_ft,stop_OFF_ft,improv_pct,MIL_PIL_Error_ft,C1_noLockup,C2_ABSBetter,C3_Stopped,MIL_PASS
1,Dry_Nominal_88fps,0.8,88,50,1500,1.25,0.2,0.246489958549029,774.368031805178,774.368031805178,815.465865049003,5.0397981086989,0,1,1,1,1
2,Dry_HighSpeed_100fps,0.8,100,50,1500,1.25,0.2,0.246895820739124,973.130547619244,973.130547619244,1036.26234811984,6.09226038320681,0,1,1,1,1
3,Dry_Heavy_Mass60,0.8,88,60,1500,1.25,0.2,0.253920332061351,833.58308589852,833.58308589852,890.378768583604,6.3788226639134,0,1,1,1,1
4,Dry_Light_Mass40,0.8,88,40,1500,1.25,0.2,0.23930122887718,728.488343665986,728.488343665986,763.685782050491,4.60889009744307,0,1,1,1,1
5,Dry_LowBrake_PB1200,0.8,88,50,1200,1.25,0.2,0.246489958549029,805.749233438785,805.749233438785,877.068923310026,8.13159467583037,0,1,1,1,1
6,Dry_HighBrake_PB1700,0.8,88,50,1700,1.25,0.2,0.246489958549029,749.133449422551,749.133449422551,777.906535918492,3.69878451554177,0,1,1,1,1
7,Dry_SlipTgt_0p15,0.8,88,50,1500,1.25,0.15,0.246489958549029,774.368031805178,774.368031805178,815.465865049003,5.0397981086989,0,1,1,1,1
8,Dry_SlipTgt_0p25,0.8,88,50,1500,1.25,0.25,0.246489958549029,774.368031805178,774.368031805178,815.465865049003,5.0397981086989,0,1,1,1,1
9,Dry_SmallTire_Rr1p15,0.8,88,50,1500,1.15,0.2,0.243713288012184,759.90489764112,759.90489764112,801.666632749757,5.20936426721316,0,1,1,1,1
10,Dry_TinyTire_Rr1p05,0.8,88,50,1500,1.05,0.2,0.240864724752886,743.397036284757,743.397036284757,788.931942779897,5.77171540737616,0,1,1,1,1
11,Dry_Combined_HeavyFast,0.8,100,60,1700,1.25,0.2,0.254703935093223,976.327073604828,976.327073604828,1013.99717451488,3.71501044153027,0,1,1,1,1
12,Wet_Nominal,0.5,88,50,1500,1.25,0.15,0.232913588132397,1107.48083628464,1107.48083628464,1279.26562003355,13.4283905592959,0,1,1,1,1
13,Wet_HighSpeed_100,0.5,100,50,1500,1.25,0.15,0.232452983026099,1397.76170404975,1397.76170404975,1659.09209524937,15.7514095780403,0,1,1,1,1
14,Wet_Light_Mass40,0.5,88,40,1500,1.25,0.15,0.228685250152315,1068.43762770672,1068.43762770672,1207.23836175227,11.4973760313652,0,1,1,1,1
15,Wet_SlipTgt_0p12,0.5,88,50,1500,1.25,0.12,0.232913588132397,1107.48083628464,1107.48083628464,1279.26562003355,13.4283905592959,0,1,1,1,1
16,Wet_SlipTgt_0p18,0.5,88,50,1500,1.25,0.18,0.232913588132397,1107.48083628464,1107.48083628464,1279.26562003355,13.4283905592959,0,1,1,1,1
17,Wet_HighBrake_PB1700,0.5,88,50,1700,1.25,0.15,0.232913588132397,1084.08676348593,1084.08676348593,1216.42930644321,10.8795917901915,0,1,1,1,1
18,Ice_Nominal,0.15,88,50,1500,1.25,0.1,0.219870526137008,2122.42630102034,2122.42630102034,2234.58954138525,5.01941131861618,0,1,1,1,1
19,Ice_Light_Mass40,0.15,88,40,1500,1.25,0.1,0.219116847323248,2012.01915860322,2012.01915860322,2110.16815679886,4.6512406075039,0,1,1,1,1
20,Ice_SlipTgt_0p12,0.15,88,50,1500,1.25,0.12,0.219870526137008,2122.42630102034,2122.42630102034,2234.58954138525,5.01941131861618,0,1,1,1,1
21,Ice_Combined_HeavyFast,0.15,95,60,1500,1.25,0.1,0.21877379967837,2553.13057525717,2553.13057525717,2706.52152375656,5.66745718269733,0,1,1,1,1
22,Snow_mu0p30,0.3,88,50,1500,1.25,0.12,0.224561820385794,1482.0720755304,1482.0720755304,1617.47925607862,8.3714941035164,0,1,1,1,1
23,Snow_mu0p30_HighSpd,0.3,95,50,1500,1.25,0.12,0.2237627308253,1715.58436918393,1715.58436918393,1878.59697564732,8.67735914496623,0,1,1,1,1
24,Snow_mu0p35_Mid,0.35,88,50,1500,1.25,0.13,0.226488007302169,1330.88192618132,1330.88192618132,1454.21661256539,8.48117710376661,0,1,1,1,1
25,Snow_mu0p35_HighSpd,0.35,95,50,1500,1.25,0.13,0.22586575564162,1544.03195205953,1544.03195205953,1696.4714889797,8.98568221808747,0,1,1,1,1
26,Dry_HighSpeed_110,0.8,110,50,1500,1.25,0.2,0.247083741224491,1139.76337749263,1139.76337749263,1214.2629041219,6.13537038613153,0,1,1,1,1
27,Ice_LowSpeed_50,0.15,50,50,1500,1.25,0.1,0.163517700101251,957.344265471348,957.344265471348,940.799833875852,-1.75854958725257,0,1,0,1,0
28,Gravel_mu0p40,0.4,80,50,1500,1.25,0.14,0.0887095061280372,1353.96086525462,1353.96086525462,1238.0360943526,-9.36360187161158,0,1,0,1,0
